task	bs	slot	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	a4	a5	a6	a7	speedup	process_seconds
prose	0	head_base	OK	192.0	7.56	25.4	0.737	1.413	4.86	maxTokens						91.8	45840.0	2.135	39.375																	1.0	11.135493207999389
prose	2	mid	OK	192.0	5.91	32.464	0.739	1.418	4.91	maxTokens	0.605	119.0	0.411	5.256	1.613	89.2	39070.0	2.091	30.78125	44.16806722689076	3.4537815126050417	119.0	119.0	3.4537815126050417	0.24300000000000033	2.042016806722692	47,72	119	0.6050420168067226							1.2781102362204724	9.520508666000751
prose	3	mid	OK	192.0	5.64	34.014	0.742	1.422	4.89	maxTokens	1.032	94.0	0.598	4.802	2.043	87.8	37087.0	2.147	29.375	51.085106382978715	6.361702127659575	188.0	188.0	3.1808510638297873	0.2400000000000002	2.5531914893617045	34,23,37	94	0.6382978723404256	0.6166666666666667						1.3391338582677168	9.273383499999909
prose	4	mid	OK	192.0	6.45	29.776	0.737	1.431	4.91	maxTokens	0.99	96.0	0.833	5.372	2.0	86.8	43786.0	2.498	33.59375	55.95833333333333	8.677083333333334	288.0	288.0	2.892361111111111	0.2450000000000001	2.5520833333333344	42,27,13,14	96	0.5625	0.5	0.5185185185185185					1.1722834645669291	10.053107875000023
prose	6	mid	OK	192.0	7.72	24.882	0.74	1.437	4.87	maxTokens	1.358	81.0	1.103	6.365	2.37	85.4	43435.0	2.827	40.20833333333333	78.58024691358024	13.617283950617283	405.0	405.0	2.7234567901234565	0.2519999999999998	3.1111111111111085	32,24,9,5,2,9	81	0.6049382716049383	0.5102040816326531	0.64	0.6875	0.8181818181818182			0.9796062992125986	11.434431874999973
prose	8	mid	OK	192.0	9.26	20.735	0.744	1.429	4.87	maxTokens	1.358	81.0	1.517	7.496	2.37	85.0	48369.0	2.864	48.229166666666664	92.54320987654322	18.728395061728396	567.0	567.0	2.6754850088183417	0.2469999999999999	3.0493827160493816	39,21,5,5,2,2,3,4	81	0.5185185185185185	0.5	0.7619047619047619	0.6875	0.8181818181818182	0.7777777777777778	0.5714285714285714	0.8163385826771654	12.93277983400003
prose	0	tail_base	OK	192.0	7.59	25.312	0.746	1.389	4.84	maxTokens						91.8	45840.0	2.135	39.53125																	0.9965354330708662	11.22042304200022
math	0	head_base	OK	192.0	8.31	23.102	0.747	1.447	4.8	maxTokens						86.8	45840.0	3.039	43.28125																	1.0	11.988973083000019
math	2	mid	OK	192.0	6.72	28.578	0.744	1.428	4.9	maxTokens	0.705	112.0	0.401	6.072	1.714	82.5	39806.0	3.161	34.99999999999999	54.214285714285715	3.580357142857143	112.0	112.0	3.580357142857143	0.2469999999999999	2.205357142857142	33,79	112	0.7053571428571429							1.2370357544801316	10.38166395799999
math	3	mid	OK	192.0	6.75	28.437	0.741	1.459	4.9	maxTokens	0.929	99.0	0.62	5.884	1.939	82.8	42236.0	3.246	35.15625	59.43434343434344	6.262626262626262	198.0	198.0	3.131313131313131	0.24599999999999955	2.4848484848484804	39,28,32	99	0.6060606060606061	0.5333333333333333						1.230932386806337	10.444970708000255
math	4	mid	OK	192.0	7.25	26.486	0.75	1.509	4.91	maxTokens	1.076	92.0	0.794	6.21	2.087	81.9	45431.0	3.713	37.760416666666664	67.5	8.630434782608695	276.0	276.0	2.8768115942028984	0.24599999999999955	2.6739130434782563	43,20,8,21	92	0.532608695652174	0.5918367346938775	0.7241379310344828					1.1464808241710676	10.958694708000621
math	6	mid	OK	192.0	7.76	24.745	0.758	1.478	4.86	maxTokens	1.768	69.0	0.948	6.566	2.783	78.8	42698.0	4.302	40.416666666666664	95.15942028985506	13.739130434782608	345.0	345.0	2.7478260869565214	0.24599999999999955	3.565217391304341	24,15,11,4,2,13	69	0.6521739130434783	0.6666666666666666	0.6333333333333333	0.7894736842105263	0.8666666666666667			1.0711193836031512	11.439047584000036
math	8	mid	OK	192.0	10.53	18.228	0.733	1.442	4.88	maxTokens	1.387	80.0	1.469	8.82	2.4	78.4	56283.0	5.375	54.84375	110.25	18.3625	560.0	560.0	2.623214285714286	0.24099999999999966	3.0124999999999957	44,10,8,6,4,1,3,4	80	0.45	0.7222222222222222	0.6923076923076923	0.6666666666666666	0.6666666666666666	0.875	0.5714285714285714	0.7890225954462817	14.14899504099958
math	0	tail_base	OK	192.0	8.2	23.421	0.736	1.46	4.84	maxTokens						86.8	45840.0	2.991	42.70833333333333																	1.0138083282832655	11.847843083000043
image	0	head_base	OK	166.0	6.7	24.775	0.773	4.274	4.97	endOfTurn						93.2	39600.0	1.74	40.36144578313253																	1.0	13.29278979099945
image	2	mid	OK	192.0	5.56	34.552	0.732	4.235	4.96	maxTokens	0.675	114.0	0.417	4.899	1.684	91.1	36266.0	1.875	28.958333333333332	42.973684210526315	3.6578947368421053	114.0	114.0	3.6578947368421053	0.24399999999999977	2.1403508771929807	37,77	114	0.6754385964912281							1.3946316851664986	12.078499582999939
image	3	mid	OK	172.0	4.99	34.503	0.734	4.204	4.98	endOfTurn	1.123	81.0	0.546	4.225	2.123	89.2	30641.0	1.864	29.011627906976745	52.16049382716049	6.740740740740741	162.0	162.0	3.3703703703703707	0.2190000000000003	2.7037037037037073	22,27,32	81	0.7283950617283951	0.5423728813559322						1.3926538849646821	11.438648583000031
image	4	mid	OK	192.0	6.1	31.462	0.78	4.255	4.95	maxTokens	1.122	90.0	0.835	5.022	2.133	89.5	38407.0	2.105	31.770833333333332	55.800000000000004	9.277777777777777	270.0	270.0	3.0925925925925926	0.24299999999999944	2.6999999999999935	31,34,8,17	90	0.6555555555555556	0.423728813559322	0.68					1.2699091826437943	12.67638183300005
image	6	mid	OK	192.0	7.91	24.275	0.738	4.23	4.96	maxTokens	1.274	84.0	1.228	6.433	2.286	88.4	42531.0	2.321	41.197916666666664	76.58333333333334	14.619047619047619	420.0	420.0	2.9238095238095236	0.24900000000000055	2.964285714285721	30,30,7,9,4,4	84	0.6428571428571429	0.4444444444444444	0.7083333333333334	0.47058823529411764	0.5			0.9798183652875883	14.424817624999378
image	8	mid	OK	192.0	9.62	19.953	0.738	4.258	4.95	maxTokens	1.274	84.0	1.661	7.715	2.286	87.7	48173.0	2.491	50.104166666666664	91.84523809523809	19.773809523809522	588.0	588.0	2.8248299319727894	0.24399999999999977	2.904761904761902	31,29,8,9,3,2,1,1	84	0.6309523809523809	0.4528301886792453	0.6666666666666666	0.4375	0.5714285714285714	0.5	0.5	0.8053683148335016	16.15320412500023
image	0	tail_base	OK	166.0	6.85	24.238	0.755	4.34	4.94	endOfTurn						93.2	39600.0	1.833	41.265060240963855																	0.9783249243188699	13.480930583999907
