task	bs	slot	temperature	status	new	decode	tok_s	load	ttft	peak	stop	accept	rounds	draft	verify	tok_per_round	decode_hit	decode_experts	decode_io	ms_per_tok	step_ms	draft_per_round_ms	drafts	drafts_total	d_ms	outside_s	outside_per_round_ms	accepted_hist	rounds_from_hist	a1	a2	a3	speedup	process_seconds
prose	0	head_base	0.0	OK	192.0	6.86	27.996	0.707	1.363	4.82	maxTokens						93.3	45840.0	1.726	35.729166666666664													1.0	10.313160957999571
prose	2	mid	0.0	OK	192.0	5.58	34.4	0.756	1.346	4.85	maxTokens	0.504	127.0	0.422	5.149	1.512	90.8	40351.0	1.808	29.0625	40.54330708661418	3.322834645669291	127.0	127.0	3.322834645669291	0.009000000000000341	0.07086614173228616	63,64	127	0.5039370078740157			1.2287469638519788	9.146939834000477
prose	3	mid	0.0	OK	192.0	6.17	31.124	0.745	1.396	4.87	maxTokens	0.69	113.0	0.687	5.473	1.699	89.5	42591.0	2.171	32.135416666666664	48.43362831858407	6.079646017699115	226.0	226.0	3.0398230088495577	0.009999999999999787	0.08849557522123705	58,32,23	113	0.48672566371681414	0.41818181818181815		1.1117302471781683	9.787697624999964
prose	4	mid	0.0	OK	192.0	6.6	29.1	0.743	1.421	4.87	maxTokens	0.785	107.0	0.903	5.686	1.794	88.7	45689.0	2.252	34.37499999999999	53.14018691588785	8.439252336448599	321.0	321.0	2.8130841121495327	0.010999999999999233	0.10280373831774983	54,31,13,9	107	0.4953271028037383	0.41509433962264153	0.4090909090909091	1.0394342048864125	10.230369666000115
prose	0	tail_base	0.0	OK	192.0	6.88	27.913	0.751	1.381	4.8	maxTokens						93.3	45840.0	1.749	35.833333333333336													0.9970352907558223	10.485607583000274
image	0	head_base	0.0	OK	192.0	7.59	25.298	0.774	4.314	4.95	maxTokens						93.2	45840.0	1.968	39.53125													1.0	14.271295124999597
image	2	mid	0.0	OK	192.0	5.42	35.448	0.766	4.226	5.0	maxTokens	0.69	113.0	0.42	4.983	1.699	90.6	36507.0	1.877	28.229166666666668	44.097345132743364	3.7168141592920354	113.0	113.0	3.7168141592920354	0.017000000000000348	0.15044247787610926	35,78	113	0.6902654867256637			1.401217487548423	11.99152950000007
image	3	mid	0.0	OK	192.0	5.22	36.78	0.758	4.232	4.95	maxTokens	1.122	90.0	0.6	4.609	2.133	89.4	34001.0	1.88	27.1875	51.21111111111111	6.666666666666666	180.0	180.0	3.333333333333333	0.01100000000000012	0.12222222222222356	27,25,38	90	0.7	0.6031746031746031		1.4538698711360583	11.743482457999562
image	4	mid	0.0	OK	192.0	5.41	35.487	0.736	4.238	4.95	maxTokens	1.387	80.0	0.762	4.637	2.4	88.3	34345.0	2.05	28.177083333333336	57.96249999999999	9.525	240.0	240.0	3.175	0.01100000000000012	0.1375000000000015	27,19,10,24	80	0.6625	0.6415094339622641	0.7058823529411765	1.402759111392205	11.947076500000549
image	0	tail_base	0.0	OK	192.0	7.55	25.421	0.739	4.226	4.98	maxTokens						93.2	45840.0	2.001	39.322916666666664													1.0048620444303897	14.092251832999864
