# tsugumi expert trace v1
# experts=128
# layers=30
# model=mlx-community/gemma-4-26B-A4B-it-qat-q4_0-mlx-aligned
# policy=lfu
# prefill=chunked
# prefillChunkTokens=2048
# slots=32
# topK=8
phase	step	layer	hits	misses	experts
prefill	0	0	0	8	0,1,2,3,5,6,7,8
prefill	0	0	0	8	10,12,13,15,16,17,18,19
prefill	0	0	0	8	22,24,25,26,28,31,32,33
prefill	0	0	0	8	35,38,39,41,46,47,48,49
prefill	0	0	0	8	50,52,53,54,55,58,60,63
prefill	0	0	0	8	64,68,69,73,74,75,76,77
prefill	0	0	0	8	78,79,81,83,84,90,91,92
prefill	0	0	0	8	94,99,102,103,104,105,106,107
prefill	0	0	0	8	109,111,112,113,114,115,116,117
prefill	0	0	0	6	120,121,124,125,126,127
prefill	0	1	0	8	0,1,2,4,5,6,8,9
prefill	0	1	0	8	10,11,12,13,16,18,20,21
prefill	0	1	0	8	22,25,27,28,31,35,38,39
prefill	0	1	0	8	40,41,42,45,46,47,50,51
prefill	0	1	0	8	53,55,56,59,64,65,67,69
prefill	0	1	0	8	70,71,72,73,74,77,78,79
prefill	0	1	0	8	80,81,82,83,84,85,86,87
prefill	0	1	0	8	89,90,91,94,96,97,98,100
prefill	0	1	0	8	101,102,104,105,110,112,113,114
prefill	0	1	0	8	115,116,117,118,119,120,121,122
prefill	0	1	0	4	123,124,125,127
prefill	0	2	0	8	0,1,3,5,6,8,11,13
prefill	0	2	0	8	14,15,16,17,18,20,24,26
prefill	0	2	0	8	29,31,32,33,37,39,41,42
prefill	0	2	0	8	43,44,46,49,50,51,54,56
prefill	0	2	0	8	57,59,60,61,62,64,65,66
prefill	0	2	0	8	68,69,71,73,75,76,77,78
prefill	0	2	0	8	79,81,82,85,86,88,96,97
prefill	0	2	0	8	98,102,105,106,107,109,110,111
prefill	0	2	0	8	112,113,114,115,117,118,119,120
prefill	0	2	0	5	121,122,125,126,127
prefill	0	3	0	8	0,1,3,4,6,8,9,10
prefill	0	3	0	8	11,13,14,15,16,17,20,21
prefill	0	3	0	8	22,23,24,25,28,29,32,34
