# turbo-fieldfare expert trace v1
# experts=128
# layers=30
# model=mlx-community/gemma-4-26B-A4B-it-qat-q4_0-mlx-aligned
# policy=lfu
# prefill=chunked
# prefillChunkTokens=2048
# slots=32
# topK=8
phase	step	layer	hits	misses	experts
prefill	0	0	0	8	0,1,2,3,4,5,6,7
prefill	0	0	0	8	8,10,11,12,13,14,15,16
prefill	0	0	0	8	17,18,19,20,21,22,23,24
prefill	0	0	0	8	25,26,27,28,30,31,32,33
prefill	0	0	0	8	35,37,38,39,40,41,42,43
prefill	0	0	0	8	46,47,48,49,50,51,52,53
prefill	0	0	0	8	54,55,56,57,58,60,62,63
prefill	0	0	0	8	64,68,69,70,72,73,74,75
prefill	0	0	0	8	76,77,78,79,80,81,82,83
prefill	0	0	0	8	84,85,87,88,90,91,92,93
prefill	0	0	0	8	94,95,98,99,100,102,103,104
prefill	0	0	0	8	105,106,107,108,109,110,111,112
prefill	0	0	0	8	113,114,115,116,117,118,120,121
prefill	0	0	0	3	124,125,126
prefill	0	1	0	8	0,1,2,4,5,6,7,8
prefill	0	1	0	8	9,10,11,12,13,14,15,16
prefill	0	1	0	8	17,18,19,20,21,22,23,24
prefill	0	1	0	8	25,26,27,28,29,30,31,32
prefill	0	1	0	8	33,35,37,38,39,40,41,42
prefill	0	1	0	8	43,45,46,47,48,49,50,51
prefill	0	1	0	8	52,53,54,55,56,58,59,62
prefill	0	1	0	8	63,64,65,66,67,69,70,71
prefill	0	1	0	8	72,73,74,75,76,77,78,79
prefill	0	1	0	8	80,81,82,83,84,85,86,88
prefill	0	1	0	8	89,90,91,92,93,94,96,97
prefill	0	1	0	8	98,99,100,101,102,103,104,105
prefill	0	1	0	8	106,108,109,111,112,114,115,116
prefill	0	1	0	8	117,118,119,120,121,122,123,124
prefill	0	1	0	3	125,126,127
prefill	0	2	0	8	0,1,2,3,5,7,8,9
prefill	0	2	0	8	10,11,12,13,14,15,16,17
prefill	0	2	0	8	18,19,20,22,24,25,26,27
prefill	0	2	0	8	29,30,31,32,33,34,35,36
prefill	0	2	0	8	37,38,39,40,41,42,43,44
prefill	0	2	0	8	46,48,49,50,51,52,54,55
prefill	0	2	0	8	56,57,58,59,60,62,63,64
prefill	0	2	0	8	65,68,69,71,72,73,74,75
prefill	0	2	0	8	76,77,78,79,81,83,85,86
prefill	0	2	0	8	87,88,89,90,91,92,93,94
prefill	0	2	0	8	95,96,97,98,99,100,101,102
prefill	0	2	0	8	103,104,105,106,107,108,109,110
prefill	0	2	0	8	111,112,113,114,115,116,117,118
prefill	0	2	0	6	119,120,122,123,126,127
prefill	0	3	0	8	0,1,2,3,4,6,7,9
prefill	0	3	0	8	10,11,12,13,15,16,17,18
prefill	0	3	0	8	19,20,21,22,23,24,25,28
prefill	0	3	0	8	29,30,33,34,35,36,37,39
prefill	0	3	0	8	40,41,42,43,44,45,46,47
prefill	0	3	0	8	48,50,51,52,53,54,56,57
prefill	0	3	0	8	58,59,60,62,63,65,66,68
prefill	0	3	0	8	70,71,72,73,74,75,77,79
prefill	0	3	0	8	80,81,82,83,84,86,87,88
prefill	0	3	0	8	89,90,91,92,93,94,96,97
prefill	0	3	0	8	99,100,101,102,103,104,110,112
prefill	0	3	0	8	114,115,116,118,120,123,124,125
prefill	0	3	0	1	126
prefill	0	4	0	8	0,1,2,3,4,6,7,8
prefill	0	4	0	8	9,10,11,12,14,15,16,17
prefill	0	4	0	8	18,19,20,21,23,25,27,28
prefill	0	4	0	8	29,31,32,33,34,35,36,38
prefill	0	4	0	8	40,41,42,43,45,46,47,48
prefill	0	4	0	8	49,51,52,54,55,56,58,60
prefill	0	4	0	8	61,62,63,64,65,67,68,69
prefill	0	4	0	8	70,71,72,73,74,75,76,77
prefill	0	4	0	8	78,79,80,81,83,84,85,87
prefill	0	4	0	8	88,89,90,91,92,93,94,95
prefill	0	4	0	8	97,99,101,102,103,104,105,106
prefill	0	4	0	8	107,108,109,110,111,112,114,115
prefill	0	4	0	8	116,117,119,120,122,123,124,125
prefill	0	4	0	1	127
prefill	0	5	0	8	0,2,3,4,5,6,7,9
prefill	0	5	0	8	11,13,14,15,16,17,18,21
prefill	0	5	0	8	23,24,25,26,28,29,30,33
prefill	0	5	0	8	34,36,37,38,39,42,43,45
prefill	0	5	0	8	46,47,49,50,51,52,53,55
prefill	0	5	0	8	56,57,58,59,60,61,62,63
prefill	0	5	0	8	64,66,67,69,70,71,72,73
prefill	0	5	0	8	75,76,78,79,80,82,83,84
prefill	0	5	0	8	85,86,87,88,89,90,92,93
prefill	0	5	0	8	94,95,96,97,98,99,100,101
prefill	0	5	0	8	102,103,105,106,107,108,109,110
prefill	0	5	0	8	111,112,113,114,115,117,118,119
prefill	0	5	0	5	120,121,123,126,127
prefill	0	6	0	8	0,1,2,3,4,5,6,7
prefill	0	6	0	8	9,10,11,12,14,16,17,18
prefill	0	6	0	8	19,20,21,23,24,25,26,27
prefill	0	6	0	8	28,29,30,31,32,33,34,36
prefill	0	6	0	8	37,39,40,41,43,44,45,46
prefill	0	6	0	8	47,49,50,52,53,56,57,58
prefill	0	6	0	8	59,60,61,62,63,65,67,68
prefill	0	6	0	8	69,70,71,72,73,75,76,77
prefill	0	6	0	8	78,79,80,81,82,83,84,85
prefill	0	6	0	8	86,88,89,91,92,94,95,96
prefill	0	6	0	8	97,98,99,100,101,102,103,105
prefill	0	6	0	8	106,107,108,109,110,111,112,114
prefill	0	6	0	8	115,116,117,119,121,122,123,125
prefill	0	6	0	1	126
prefill	0	7	0	8	1,2,4,5,9,11,12,13
prefill	0	7	0	8	14,15,16,18,19,21,22,23
prefill	0	7	0	8	25,26,27,28,29,31,32,33
prefill	0	7	0	8	34,35,36,37,38,39,41,42
prefill	0	7	0	8	43,44,45,46,49,50,53,54
prefill	0	7	0	8	55,56,57,58,60,61,62,63
prefill	0	7	0	8	64,65,66,67,68,69,70,71
prefill	0	7	0	8	74,75,76,77,79,80,81,82
prefill	0	7	0	8	83,84,85,86,87,88,89,91
prefill	0	7	0	8	92,93,94,96,97,98,99,102
prefill	0	7	0	8	103,104,105,107,110,111,112,113
