# turbo-fieldfare expert trace v1
# experts=128
# layers=30
# model=mlx-community/gemma-4-26B-A4B-it-qat-q4_0-mlx-aligned
# policy=lfu
# prefill=chunked
# prefillChunkTokens=2048
# slots=32
# topK=8
phase	step	layer	hits	misses	experts
prefill	0	0	0	8	0,1,3,4,5,6,7,8
prefill	0	0	0	8	10,11,13,14,15,16,17,18
prefill	0	0	0	8	19,20,21,22,23,24,26,27
prefill	0	0	0	8	28,29,30,31,32,33,34,35
prefill	0	0	0	8	38,39,40,41,42,43,44,45
prefill	0	0	0	8	46,48,49,50,51,52,54,55
prefill	0	0	0	8	56,57,58,60,62,63,64,65
prefill	0	0	0	8	69,71,72,73,74,76,77,78
prefill	0	0	0	8	79,80,81,82,83,84,85,87
prefill	0	0	0	8	88,89,90,91,92,93,94,95
prefill	0	0	0	8	98,99,100,102,103,104,105,106
prefill	0	0	0	8	107,108,109,110,111,112,113,114
prefill	0	0	0	8	116,117,118,120,121,122,124,125
prefill	0	0	0	1	126
prefill	0	1	0	8	0,1,4,5,6,7,8,9
prefill	0	1	0	8	10,11,12,13,14,15,16,17
prefill	0	1	0	8	18,19,20,21,22,23,24,25
prefill	0	1	0	8	26,27,28,29,30,31,32,33
prefill	0	1	0	8	34,35,36,37,38,39,40,41
prefill	0	1	0	8	42,43,45,46,47,49,50,51
prefill	0	1	0	8	52,53,55,56,57,58,59,60
prefill	0	1	0	8	62,63,64,65,66,67,68,69
prefill	0	1	0	8	70,71,72,73,74,75,76,77
prefill	0	1	0	8	78,79,80,81,82,83,84,85
prefill	0	1	0	8	86,87,89,90,91,92,94,97
prefill	0	1	0	8	98,99,100,101,102,104,105,106
prefill	0	1	0	8	107,108,109,110,111,112,113,114
prefill	0	1	0	8	115,116,117,118,119,120,121,122
prefill	0	1	0	5	123,124,125,126,127
prefill	0	2	0	8	0,1,2,3,5,6,7,8
prefill	0	2	0	8	9,10,11,12,13,14,15,16
prefill	0	2	0	8	17,18,19,20,22,24,25,26
prefill	0	2	0	8	27,28,29,30,31,32,34,35
prefill	0	2	0	8	36,38,39,40,41,42,43,44
prefill	0	2	0	8	45,46,48,49,50,51,52,53
prefill	0	2	0	8	54,55,56,57,59,60,61,62
prefill	0	2	0	8	63,64,65,66,68,69,70,71
prefill	0	2	0	8	72,73,75,76,77,78,79,81
prefill	0	2	0	8	83,84,85,86,87,88,89,90
prefill	0	2	0	8	91,92,93,94,95,96,97,98
prefill	0	2	0	8	99,101,102,103,104,105,106,107
prefill	0	2	0	8	108,109,110,111,112,113,114,115
prefill	0	2	0	8	116,117,118,119,120,122,123,125
prefill	0	2	0	2	126,127
prefill	0	3	0	8	0,1,2,3,7,9,10,11
prefill	0	3	0	8	12,13,14,15,16,17,18,20
prefill	0	3	0	8	21,23,24,25,26,28,29,30
prefill	0	3	0	8	34,35,36,37,39,40,41,42
prefill	0	3	0	8	43,44,45,46,47,48,49,50
prefill	0	3	0	8	51,52,53,54,56,58,60,62
prefill	0	3	0	8	63,64,66,68,70,71,72,73
prefill	0	3	0	8	74,75,76,77,79,80,81,82
prefill	0	3	0	8	83,84,89,90,91,92,93,94
prefill	0	3	0	8	99,100,101,102,103,104,110,112
prefill	0	3	0	8	115,116,117,118,120,121,123,124
prefill	0	3	0	2	125,126
prefill	0	4	0	8	1,2,4,6,7,8,9,10
prefill	0	4	0	8	11,12,13,14,15,16,17,18
prefill	0	4	0	8	19,20,21,23,25,27,28,29
prefill	0	4	0	8	30,31,32,34,35,36,38,40
prefill	0	4	0	8	41,42,43,45,46,47,49,51
prefill	0	4	0	8	52,53,54,55,56,58,60,61
prefill	0	4	0	8	62,63,65,68,69,70,71,72
prefill	0	4	0	8	73,74,75,76,77,79,80,81
prefill	0	4	0	8	82,83,84,85,87,88,89,91
prefill	0	4	0	8	92,93,95,97,99,100,101,102
prefill	0	4	0	8	104,105,106,107,108,109,110,111
prefill	0	4	0	8	112,114,115,116,117,119,120,122
prefill	0	4	0	4	123,125,126,127
prefill	0	5	0	8	2,3,4,5,6,7,8,9
prefill	0	5	0	8	11,14,16,17,21,23,24,25
prefill	0	5	0	8	26,27,28,29,30,33,36,38
prefill	0	5	0	8	41,42,44,45,46,47,49,50
prefill	0	5	0	8	51,52,53,55,56,57,58,59
prefill	0	5	0	8	61,62,63,64,66,67,68,69
prefill	0	5	0	8	70,71,72,73,75,76,77,78
prefill	0	5	0	8	79,82,84,85,86,87,88,89
prefill	0	5	0	8	90,92,94,96,97,98,99,100
prefill	0	5	0	8	101,102,103,105,106,107,108,109
prefill	0	5	0	8	110,111,112,113,114,115,117,118
prefill	0	5	0	6	119,120,121,123,126,127
prefill	0	6	0	8	0,1,2,3,4,5,6,7
prefill	0	6	0	8	9,10,11,12,14,16,17,18
prefill	0	6	0	8	19,20,21,24,25,28,29,30
prefill	0	6	0	8	31,33,34,36,37,38,39,40
prefill	0	6	0	8	41,43,44,45,46,47,49,50
prefill	0	6	0	8	52,53,56,57,58,59,60,61
prefill	0	6	0	8	62,63,65,66,67,68,69,70
prefill	0	6	0	8	71,72,73,76,77,78,79,80
prefill	0	6	0	8	81,82,83,84,85,86,88,89
prefill	0	6	0	8	92,93,94,95,97,98,99,100
prefill	0	6	0	8	101,102,103,106,107,108,109,110
prefill	0	6	0	8	111,112,114,117,119,121,122,125
prefill	0	6	0	1	126
prefill	0	7	0	8	1,2,5,7,9,11,13,14
prefill	0	7	0	8	15,16,18,19,21,22,23,25
prefill	0	7	0	8	26,27,28,29,30,31,32,33
prefill	0	7	0	8	34,35,36,37,38,39,41,42
prefill	0	7	0	8	43,44,45,46,49,50,53,54
prefill	0	7	0	8	55,56,57,58,59,60,61,62
prefill	0	7	0	8	63,64,65,66,67,69,70,71
prefill	0	7	0	8	72,74,75,76,77,78,79,80
prefill	0	7	0	8	81,82,83,84,85,86,87,88
prefill	0	7	0	8	89,90,91,92,93,94,96,97
prefill	0	7	0	8	98,99,103,104,105,111,112,113
prefill	0	7	0	8	114,116,119,121,122,124,125,126
prefill	0	7	0	1	127
prefill	0	8	0	8	1,2,4,6,8,10,12,13
prefill	0	8	0	8	14,15,17,19,20,21,24,25
prefill	0	8	0	8	26,27,28,29,30,31,32,33
prefill	0	8	0	8	34,35,36,37,38,39,40,42
prefill	0	8	0	8	43,44,45,47,48,49,51,52
prefill	0	8	0	8	53,54,56,57,58,59,60,61
prefill	0	8	0	8	62,63,64,65,66,67,68,69
prefill	0	8	0	8	70,71,72,74,75,76,77,78
prefill	0	8	0	8	79,80,83,84,85,86,88,90
prefill	0	8	0	8	91,93,94,96,97,99,100,102
prefill	0	8	0	8	104,106,107,108,111,112,113,114
prefill	0	8	0	8	115,116,117,118,119,120,121,122
