# basis	v2
# conditions	slots=32	bs=4	temp=0	thinking=on	cooldown=10s	max_new=2048	image_tokens=280
# images_dir	/Users/mh/Pictures/sample_imgs	iogpu.wired_limit_mb=14336
# ledger	bench/mtp_goal_v2_images.tsv
# md5	1c624f33c638665a1cb54749cae4fbad  NO_FUSION_0401_001.png
# md5	853e4081d5bf277282eedcdba7d55ff9  NO_FUSION_0401_007.png
# md5	8d124fa5d73b5aa0ac5ae9c3e6e0014f  NO_FUSION_0404_004.png
# md5	d7571f457b3834cf6cd30e2fbb16209c  NO_FUSION_0524_013.png
# md5	9000acca590bfcceffe591b97847d70e  NO_FUSION_0606_028.png
# md5	eb52b5486f6df600db8fd48fa983d6a1  NO_FUSION_0607_025.png
# md5	d23e811c853231426c6fea9f81afddb8  NO_FUSION_0627_012.png
# md5	16547cc34949b3333291f0227ef190d0  NO_FUSION_0627_015.png
# md5	382dab3f21792826e4e96709800bb5d5  NO_FUSION_0712_002.png
# md5	a8db757674fbd127ad8d44870bcd379e  NO_FUSION_0722_002.png
# md5	59bd2d38e7a59256ee653e91774c705c  NO_FUSION_0728_007.png
# md5	13148a9534be4b737ad6b9d091a7d3c2  NO_FUSION_0731_002.png
# md5	b68f88aa67289b04621915fd64eed3d8  NO_FUSION_0804_002.png
# md5	c16683d3e298b0c2663fa5614b7e6eec  NO_FUSION_0804_005.png
# md5	07ed849e992fc76373eecac7745028fe  NO_FUSION_0804_009.png
# md5	f925710ef9fadf38ccf9bab88afd0ad6  NO_FUSION_0804_012.png
# score	median=1.4155	n=16
image	role	order	side	block_size	wall	load	ttft	decode	new	tok_s	peak	stop	rounds	accept	draft	verify	decode_hit	decode_experts	decode_io	io_ms_tok	ratio
NO_FUSION_0401_001.png	head	off/on	off	0	43.571	0.784	4.227	38.56	853	22.121	4.97	endOfTurn	0				86.5	204480	12.229	14.336	1.0765
NO_FUSION_0401_001.png	head	off/on	on	4	40.473	0.798	4.235	35.44	1246	35.156	5.0	endOfTurn	412	2.022	3.879	31.538	79.9	207653	20.766	16.666	1.0765
NO_FUSION_0401_007.png	body	on/off	off	0	41.749	0.807	4.282	36.66	821	22.397	4.96	endOfTurn	0				87.3	196800	11.617	14.150	1.3759
NO_FUSION_0401_007.png	body	on/off	on	4	30.342	0.792	4.27	25.28	834	32.984	4.96	endOfTurn	299	1.789	2.752	22.513	81.3	146380	14.4	17.266	1.3759
NO_FUSION_0404_004.png	body	off/on	off	0	64.113	0.806	4.257	59.05	1343	22.744	4.97	endOfTurn	0				87.5	322080	17.503	13.033	1.5398
NO_FUSION_0404_004.png	body	off/on	on	4	41.637	0.808	4.299	36.53	1343	36.768	5.0	endOfTurn	448	1.996	4.162	32.34	80.2	222464	20.176	15.023	1.5398
NO_FUSION_0524_013.png	body	on/off	off	0	42.086	0.79	4.486	36.81	813	22.083	4.97	endOfTurn	0				85.7	194880	12.34	15.178	1.3867
NO_FUSION_0524_013.png	body	on/off	on	4	30.350	0.808	4.312	25.23	813	32.229	4.98	endOfTurn	285	1.853	2.599	22.608	79.2	146277	15.606	19.196	1.3867
NO_FUSION_0606_028.png	body	off/on	off	0	49.559	0.807	4.222	44.53	1006	22.59	4.94	endOfTurn	0				87.2	241200	13.861	13.778	1.3707
NO_FUSION_0606_028.png	body	off/on	on	4	36.155	0.807	4.268	31.08	1047	33.69	5.0	endOfTurn	375	1.789	3.423	27.634	80.7	189617	17.931	17.126	1.3707
