# turbo-fieldfare expert trace v1
# experts=128
# layers=30
# model=mlx-community/gemma-4-26B-A4B-it-qat-q4_0-mlx-aligned
# policy=lfu
# prefill=chunked
# prefillChunkTokens=2048
# slots=32
# topK=8
phase	step	layer	hits	misses	experts
prefill	0	0	0	8	1,6,8,13,15,17,41,46
prefill	0	0	0	8	54,58,69,76,79,81,83,100
prefill	0	0	0	4	102,105,108,114
prefill	0	1	0	8	4,5,8,10,12,16,18,20
prefill	0	1	0	8	21,22,25,29,35,36,37,40
prefill	0	1	0	8	41,51,52,53,57,60,62,66
prefill	0	1	0	8	69,70,71,72,73,74,76,79
prefill	0	1	0	8	80,82,85,89,90,99,101,102
prefill	0	1	0	8	103,104,105,107,108,111,115,117
prefill	0	1	0	4	119,122,125,127
prefill	0	2	0	8	0,1,11,12,13,14,15,17
prefill	0	2	0	8	18,26,32,34,36,41,49,50
prefill	0	2	0	8	52,60,62,64,67,69,71,77
prefill	0	2	0	8	80,81,86,93,95,103,106,109
prefill	0	2	0	3	111,114,115
prefill	0	3	0	8	0,10,11,15,16,17,20,21
prefill	0	3	0	8	23,24,25,28,29,33,42,49
prefill	0	3	0	8	51,52,56,60,62,63,66,75
prefill	0	3	0	8	79,80,84,91,92,94,100,102
prefill	0	3	0	5	103,110,117,120,125
prefill	0	4	0	8	1,4,8,9,12,13,16,18
prefill	0	4	0	8	19,23,27,29,32,38,47,54
prefill	0	4	0	8	55,58,69,70,74,76,77,81
prefill	0	4	0	8	88,93,95,99,100,101,105,112
prefill	0	4	0	5	116,119,120,125,127
prefill	0	5	0	8	7,8,9,14,17,24,25,28
prefill	0	5	0	8	41,42,45,51,55,57,66,69
prefill	0	5	0	8	78,84,86,90,94,105,106,107
prefill	0	5	0	8	111,112,113,114,118,121,123,125
prefill	0	6	0	8	5,7,8,9,14,15,16,17
prefill	0	6	0	8	18,21,30,37,39,43,45,47
prefill	0	6	0	8	50,52,57,59,69,72,77,82
prefill	0	6	0	8	85,86,92,98,108,116,117,119
prefill	0	6	0	2	122,124
prefill	0	7	0	8	5,7,13,14,15,18,19,23
prefill	0	7	0	8	25,27,28,35,37,42,54,57
prefill	0	7	0	8	58,60,64,74,75,76,84,89
prefill	0	7	0	8	91,93,99,101,103,111,118,125
prefill	0	7	0	2	126,127
prefill	0	8	0	8	8,12,14,17,19,20,29,32
prefill	0	8	0	8	35,40,45,48,52,55,60,61
prefill	0	8	0	8	62,63,66,68,72,74,76,79
prefill	0	8	0	8	80,90,94,99,104,106,108,115
prefill	0	8	0	4	116,117,120,122
prefill	0	9	0	8	3,18,21,27,31,38,42,47
prefill	0	9	0	8	52,56,57,60,63,67,72,73
prefill	0	9	0	8	77,78,85,89,93,96,101,102
prefill	0	9	0	8	103,105,106,107,112,113,121,123
prefill	0	9	0	1	126
prefill	0	10	0	8	1,4,10,12,16,27,34,47
prefill	0	10	0	8	49,57,62,64,66,67,77,79
prefill	0	10	0	8	83,84,85,90,93,99,103,105
prefill	0	10	0	8	106,110,112,119,122,123,124,126
prefill	0	11	0	8	0,9,10,14,29,32,35,37
prefill	0	11	0	8	42,56,60,68,72,77,80,81
prefill	0	11	0	8	84,85,89,92,96,99,100,103
prefill	0	11	0	7	110,111,115,121,123,124,125
prefill	0	12	0	8	0,6,9,11,17,18,19,21
prefill	0	12	0	8	25,37,39,50,53,54,57,59
prefill	0	12	0	8	68,69,71,73,76,79,81,89
prefill	0	12	0	8	92,95,100,103,104,108,112,118
prefill	0	12	0	1	120
prefill	0	13	0	8	1,6,8,16,19,21,23,25
prefill	0	13	0	8	27,31,35,42,43,50,51,52
prefill	0	13	0	8	56,62,66,69,79,82,90,93
prefill	0	13	0	8	99,100,107,108,109,111,114,120
prefill	0	13	0	3	124,126,127
prefill	0	14	0	8	0,1,3,13,14,21,23,30
prefill	0	14	0	8	40,42,45,46,52,53,55,56
prefill	0	14	0	8	59,65,72,83,86,87,91,92
prefill	0	14	0	8	93,97,101,106,111,113,115,119
prefill	0	14	0	4	121,122,124,127
prefill	0	15	0	8	3,4,6,13,17,19,20,22
prefill	0	15	0	8	29,31,32,38,41,43,44,46
prefill	0	15	0	8	47,52,56,61,63,65,66,68
prefill	0	15	0	8	71,74,77,79,82,83,85,98
prefill	0	15	0	8	104,105,106,107,108,109,110,112
prefill	0	15	0	1	113
prefill	0	16	0	8	0,2,7,11,13,15,22,24
prefill	0	16	0	8	27,29,36,38,40,41,42,44
prefill	0	16	0	8	45,47,49,50,51,53,55,56
prefill	0	16	0	8	57,59,71,72,73,75,80,87
prefill	0	16	0	8	89,92,93,94,95,97,99,102
prefill	0	16	0	5	104,106,109,113,116
prefill	0	17	0	8	0,3,9,14,17,28,29,32
prefill	0	17	0	8	43,44,51,52,56,63,68,70
prefill	0	17	0	8	76,84,85,86,88,89,94,95
prefill	0	17	0	8	96,100,101,102,107,109,114,119
prefill	0	17	0	4	120,122,123,125
prefill	0	18	0	8	0,1,2,6,8,11,16,26
prefill	0	18	0	8	36,37,39,41,42,43,48,49
prefill	0	18	0	8	51,52,53,54,56,62,70,77
prefill	0	18	0	8	80,83,84,88,90,93,94,98
prefill	0	18	0	8	101,105,106,109,117,120,121,122
prefill	0	19	0	8	1,4,5,7,14,15,16,19
prefill	0	19	0	8	21,24,26,28,36,37,38,48
prefill	0	19	0	8	51,52,57,64,65,68,69,78
prefill	0	19	0	8	79,80,82,88,94,101,109,119
prefill	0	19	0	1	123
prefill	0	20	0	8	5,6,16,20,22,23,26,30
prefill	0	20	0	8	41,42,43,44,51,64,66,67
prefill	0	20	0	8	68,75,78,85,92,94,96,100
prefill	0	20	0	4	104,111,126,127
prefill	0	21	0	8	2,4,11,14,15,20,22,27
prefill	0	21	0	8	28,30,42,44,47,49,50,52
prefill	0	21	0	8	54,58,59,61,62,67,69,76
prefill	0	21	0	8	78,86,92,94,95,98,101,105
prefill	0	21	0	5	106,113,116,125,126
prefill	0	22	0	8	5,6,11,14,21,31,34,39
prefill	0	22	0	8	41,43,50,56,60,66,69,72
prefill	0	22	0	8	74,77,78,82,84,92,94,96
prefill	0	22	0	8	100,104,107,108,110,111,122,124
prefill	0	22	0	1	126
prefill	0	23	0	8	4,10,13,14,27,29,32,37
prefill	0	23	0	8	65,68,70,71,72,74,78,81
prefill	0	23	0	8	82,83,84,91,111,119,122,123
prefill	0	23	0	1	127
prefill	0	24	0	8	13,19,20,32,33,34,37,38
prefill	0	24	0	8	42,44,51,53,55,59,60,65
prefill	0	24	0	8	66,68,74,79,80,86,91,100
prefill	0	24	0	4	108,110,113,114
prefill	0	25	0	8	3,9,17,22,27,29,31,35
prefill	0	25	0	8	50,53,57,60,61,75,79,85
prefill	0	25	0	7	89,98,104,105,112,117,120
prefill	0	26	0	8	4,14,19,30,39,47,53,55
prefill	0	26	0	8	72,80,92,94,97,103,105,106
prefill	0	26	0	5	109,111,112,113,126
prefill	0	27	0	8	0,6,10,12,15,16,17,18
prefill	0	27	0	8	36,40,44,48,49,54,55,59
prefill	0	27	0	8	62,79,83,84,85,92,105,106
prefill	0	27	0	8	111,113,114,115,118,121,123,124
prefill	0	27	0	1	125
prefill	0	28	0	8	0,6,7,20,27,34,38,41
prefill	0	28	0	8	43,46,47,49,58,67,77,81
prefill	0	28	0	8	84,85,87,95,107,108,110,114
