t	free	active	inactive	speculative	wired	pageins	compressor
pre0	3568	211430	192568	17767	470918	773792131	229749
pre1	3439	210971	192581	18837	468508	773830966	231312
pre2	3708	210058	190602	19196	472633	773865267	230195
pre3	373506	206429	185211	19857	140228	773876818	201167
run0	361600	216561	195297	20053	141823	773877115	191025
run1	343471	226315	202946	20773	141898	773879816	190640
run2	333641	229267	205312	20939	145886	773879990	190416
run3	324426	230270	213070	21839	145972	773886556	190169
run4	251388	238486	286535	21359	138400	773959263	190098
run5	80837	237264	341471	21689	255079	774014538	189898
run6	3732	234805	402239	15961	278910	774080937	190318
run7	3886	244404	377623	14261	293947	774147214	191707
run8	4026	272740	359304	12135	287341	774215030	189816
run9	4088	292801	335365	12114	291663	774281369	189756
run10	4015	314691	319992	10919	286393	774350173	189680
run11	1104	320794	309644	10666	292384	774413551	191363
run12	3407	302985	291393	11252	294955	774480211	221448
run13	4716	287707	276510	10967	294536	774543596	251995
run14	3529	276377	265454	11347	285165	774611387	284305
run15	2882	268185	256630	11243	280367	774676772	306001
run16	3798	253647	246996	11279	281590	774744580	328943
run17	3784	226005	212474	13559	417873	774787355	252063
run18	4023	227674	209754	17523	461363	774829677	205297
run19	3637	232692	212629	21144	460532	774883732	195363
run20	3988	244220	221953	21765	439142	774923992	194831
run21	4090	233995	212515	20509	440844	774948779	213955
run22	3813	229466	208562	19760	440805	774969303	223491
run23	5266	232874	211683	19929	437936	774990003	218525
run24	3953	233888	212701	20323	440883	775009031	214637
post0	342935	227629	206541	20251	138478	775012399	190601
post1	341548	227573	206616	20287	139801	775012427	190410
post2	339479	229115	206794	21292	139642	775013189	190385
post3	337407	234619	208820	21312	134024	775013216	189727
post4	337329	234228	209432	21313	133967	775013221	189644
post5	336576	231300	208732	21320	138643	775013232	189484
