label	n	ptok	ntok	real	decode	rate	prefill_s	ttft_s	hit_pct	peak_gb	p_gpu	p_io	p_host	d_gpu	d_io	d_host	d_cb	flags
pipeline-warmup	0	498	128	16.03	8.97	14.267	4.529	4.530	73.3	0.48	3.04	4.76	1.30	36.01	16.75	17.33	121.0	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
pipeline-drift	0	498	128	15.11	8.48	15.090	4.416	4.416	73.3	0.48	3.04	4.56	1.27	33.44	16.29	16.54	121.0	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
pipeline-serial	1	498	128	16.49	9.89	12.936	4.461	4.461	73.3	0.48	3.05	4.62	1.28	40.17	18.40	18.73	121.0	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
pipeline-overlap	1	498	128	11.90	6.51	19.652	3.236	3.236	73.3	0.52	3.05	4.54	-1.08	29.09	15.87	5.92	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
pipeline-serial	2	498	128	15.26	8.76	14.611	4.390	4.391	73.3	0.50	3.04	4.52	1.25	34.80	16.65	16.99	121.0	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
pipeline-overlap	2	498	128	11.58	6.28	20.375	3.192	3.192	73.3	0.56	3.05	4.47	-1.12	28.11	15.71	5.26	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
pipeline-serial	3	498	128	14.99	8.49	15.077	4.383	4.383	73.3	0.50	3.05	4.47	1.28	32.88	16.97	16.47	121.0	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
pipeline-overlap	3	498	128	11.71	6.40	20.009	3.186	3.186	73.3	0.49	3.04	4.48	-1.12	28.50	15.75	5.73	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
pipeline-drift	9	498	128	15.34	8.73	14.654	4.400	4.400	73.3	0.49	3.05	4.50	1.28	34.80	16.68	16.76	121.0	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-warmup	0	56	192	12.22	8.71	22.041	1.439	1.439	72.4	0.46	10.63	16.32	-1.26	27.56	12.29	5.52	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t1-ja-explain-serial	1	56	192	16.29	11.77	16.312	2.326	2.326	72.4	0.45	16.71	15.96	8.86	32.16	13.18	15.96	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t1-ja-explain-overlap	1	56	192	12.10	8.54	22.492	1.447	1.447	72.4	0.44	10.73	16.51	-1.40	26.99	12.07	5.40	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t2-code-serial	1	60	192	17.24	12.53	15.321	2.558	2.558	69.8	0.46	17.22	16.74	8.67	32.99	16.05	16.23	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t2-code-overlap	1	60	192	13.25	9.60	19.997	1.529	1.529	69.8	0.47	10.28	16.79	-1.59	29.30	15.26	5.44	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t3-en-prose-serial	1	48	192	17.44	12.58	15.262	2.728	2.729	65.8	0.47	22.28	22.87	11.69	33.90	13.74	17.88	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t3-en-prose-overlap	1	48	192	12.65	8.93	21.496	1.522	1.522	65.8	0.47	13.10	20.31	-1.70	28.39	12.57	5.56	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t4-summarize-serial	1	2698	192	32.92	16.98	11.304	13.623	13.623	65.0	0.71	2.70	1.93	0.41	47.53	22.95	17.98	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t4-summarize-overlap	1	2698	192	25.61	12.90	14.886	10.355	10.355	65.0	0.72	2.71	2.05	-0.93	37.26	23.08	6.84	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t1-ja-explain-serial	2	56	192	17.64	12.95	14.827	2.469	2.469	72.4	0.48	17.73	16.97	9.39	35.30	13.92	18.23	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t1-ja-explain-overlap	2	56	192	12.24	8.65	22.197	1.462	1.462	72.4	0.44	10.56	16.48	-0.94	27.51	11.84	5.70	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t2-code-serial	2	60	192	17.37	12.59	15.254	2.548	2.548	69.8	0.45	16.70	16.61	9.16	32.94	15.58	17.03	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t2-code-overlap	2	60	192	13.30	9.62	19.962	1.543	1.543	69.8	0.46	10.84	16.62	-1.74	28.71	15.29	6.09	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t3-en-prose-serial	2	48	192	18.73	13.77	13.941	2.800	2.800	65.8	0.43	22.64	23.42	12.27	38.38	15.37	17.98	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t3-en-prose-overlap	2	48	192	12.69	8.93	21.494	1.516	1.516	65.8	0.46	12.28	20.31	-1.01	28.59	12.52	5.42	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t4-summarize-serial	2	2698	192	33.49	17.56	10.936	13.610	13.610	65.0	0.70	2.72	1.92	0.40	47.93	24.25	19.27	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t4-summarize-overlap	2	2698	192	25.10	12.55	15.293	10.194	10.194	65.0	0.71	2.72	1.99	-0.93	36.64	21.97	6.78	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t1-ja-explain-serial	3	56	192	16.17	11.54	16.636	2.410	2.410	72.4	0.45	16.93	16.96	9.14	30.59	12.80	16.72	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t1-ja-explain-overlap	3	56	192	12.20	8.60	22.330	1.469	1.469	72.4	0.51	10.93	16.46	-1.15	27.19	11.84	5.76	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t2-code-serial	3	60	192	16.69	11.78	16.293	2.630	2.630	69.8	0.44	16.68	17.24	9.91	29.82	15.59	15.96	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t2-code-overlap	3	60	192	13.27	9.58	20.047	1.542	1.543	69.8	0.43	11.13	16.46	-1.88	28.63	15.18	6.07	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t3-en-prose-serial	3	48	192	16.58	11.62	16.522	2.764	2.764	65.8	0.45	22.47	23.06	12.05	31.06	13.07	16.40	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t3-en-prose-overlap	3	48	192	12.61	8.96	21.437	1.483	1.483	65.8	0.43	13.22	19.57	-1.89	28.50	12.70	5.45	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t4-summarize-serial	3	2698	192	34.50	18.36	10.459	13.794	13.795	65.0	0.72	2.71	1.99	0.41	51.32	24.66	19.63	121.4	env:TF_QWEN_PIPELINE=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
tasksab-t4-summarize-overlap	3	2698	192	24.85	12.29	15.625	10.169	10.169	65.0	0.73	2.72	1.98	-0.93	35.80	21.62	6.58	121.4	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-warmup	0	498	128	12.01	6.50	19.688	3.343	3.343	60.6	0.52	3.04	4.69	-1.02	28.49	16.60	5.71	121.0	--expert-cache-slots 16 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-drift	0	498	128	11.92	6.40	20.004	3.229	3.229	60.6	0.51	3.04	4.49	-1.04	27.89	16.41	5.69	121.0	--expert-cache-slots 16 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-s16	1	498	128	12.02	6.72	19.042	3.208	3.208	60.6	0.52	3.04	4.46	-1.06	29.50	16.85	6.16	121.0	--expert-cache-slots 16 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-s24	1	498	128	11.84	6.37	20.088	3.223	3.223	68.2	0.48	3.04	4.50	-1.07	28.01	16.20	5.57	121.0	--expert-cache-slots 24 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-s32	1	498	128	11.81	6.33	20.223	3.218	3.218	73.3	0.49	3.06	4.50	-1.10	27.94	15.76	5.74	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-s16	2	498	128	11.79	6.42	19.945	3.207	3.207	60.6	0.49	3.05	4.43	-1.04	28.08	16.59	5.47	121.0	--expert-cache-slots 16 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-s24	2	498	128	11.80	6.40	19.995	3.228	3.228	68.2	0.49	3.07	4.47	-1.06	28.30	16.12	5.59	121.0	--expert-cache-slots 24 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-s32	2	498	128	11.78	6.35	20.170	3.222	3.222	73.3	0.51	3.07	4.48	-1.08	28.01	15.75	5.82	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-s16	3	498	128	12.10	6.65	19.255	3.275	3.276	60.6	0.51	3.07	4.53	-1.02	29.11	17.14	5.68	121.0	--expert-cache-slots 16 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-s24	3	498	128	11.92	6.42	19.931	3.278	3.278	68.2	0.49	3.14	4.55	-1.10	28.46	16.11	5.59	121.0	--expert-cache-slots 24 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-s32	3	498	128	11.97	6.55	19.541	3.232	3.232	73.3	0.54	3.07	4.49	-1.08	29.15	15.87	6.15	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
slots-drift	9	498	128	11.97	6.53	19.594	3.213	3.213	60.6	0.48	3.09	4.49	-1.13	28.67	16.85	5.51	121.0	--expert-cache-slots 16 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
arm-warmup	0	498	128	11.88	6.45	19.837	3.236	3.236	73.3	0.52	3.04	4.52	-1.06	28.63	15.79	6.00	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
arm-drift	0	498	128	11.91	6.53	19.592	3.201	3.201	73.3	0.49	3.06	4.45	-1.08	29.11	15.88	6.05	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
arm-mmap	1	498	128	11.80	6.40	19.987	3.218	3.218	73.3	0.51	3.05	4.47	-1.06	28.28	15.78	5.97	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
arm-pread	1	498	128	13.82	7.07	18.093	4.329	4.329	73.3	2.78	3.09	4.26	1.35	27.75	21.45	6.07	121.0	env:TF_EXPERT_MMAP=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
arm-mmap	2	498	128	11.93	6.47	19.792	3.211	3.211	73.3	0.49	3.05	4.61	-1.21	28.81	15.62	6.09	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
arm-pread	2	498	128	13.67	7.07	18.114	4.330	4.330	73.3	2.78	3.08	4.24	1.38	27.54	21.62	6.05	121.0	env:TF_EXPERT_MMAP=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
arm-mmap	3	498	128	11.96	6.46	19.825	3.213	3.213	73.3	0.49	3.04	4.64	-1.22	28.62	15.65	6.17	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
arm-pread	3	498	128	13.62	6.99	18.322	4.373	4.373	73.3	2.78	3.09	4.23	1.46	27.11	21.50	5.97	121.0	env:TF_EXPERT_MMAP=0 --expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
arm-drift	9	498	128	12.19	6.83	18.747	3.215	3.215	73.3	0.53	3.03	4.64	-1.22	30.56	16.10	6.69	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
rdadvise-warmup	0	498	128	11.88	6.55	19.552	3.228	3.228	73.3	0.50	3.04	4.51	-1.06	29.11	15.70	6.34	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
rdadvise-drift	0	498	128	11.75	6.38	20.071	3.235	3.235	73.3	0.51	3.04	4.51	-1.05	28.14	15.48	6.21	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
rdadvise-off	1	498	128	12.12	6.62	19.321	3.196	3.196	73.3	0.50	3.02	4.43	-1.03	29.58	15.74	6.44	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
rdadvise-default	1	498	128	11.84	6.52	19.621	3.177	3.177	73.3	0.52	3.04	4.40	-1.06	28.77	15.80	6.40	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise default
rdadvise-bounded	1	498	128	12.05	6.70	19.119	3.201	3.201	73.3	0.53	3.03	4.46	-1.06	30.01	15.80	6.49	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise bounded
rdadvise-adaptive	1	498	128	12.01	6.66	19.226	3.191	3.191	73.3	0.52	3.04	4.45	-1.08	29.69	15.80	6.52	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise adaptive
rdadvise-off	2	498	128	11.98	6.58	19.453	3.213	3.213	73.3	0.51	3.04	4.48	-1.07	29.10	15.94	6.37	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
rdadvise-default	2	498	128	11.97	6.61	19.366	3.216	3.216	73.3	0.50	3.05	4.47	-1.06	29.34	15.88	6.42	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise default
rdadvise-bounded	2	498	128	11.81	6.50	19.702	3.186	3.186	73.3	0.52	3.04	4.41	-1.06	28.81	15.71	6.24	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise bounded
rdadvise-adaptive	2	498	128	11.76	6.41	19.976	3.192	3.192	73.3	0.51	3.03	4.43	-1.05	28.16	15.70	6.20	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise adaptive
rdadvise-off	3	498	128	12.03	6.66	19.224	3.241	3.241	73.3	0.51	3.04	4.50	-1.03	29.64	15.89	6.49	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
rdadvise-default	3	498	128	11.78	6.37	20.101	3.207	3.207	73.3	0.50	3.04	4.41	-1.01	28.10	15.49	6.16	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise default
rdadvise-bounded	3	498	128	11.98	6.59	19.421	3.215	3.215	73.3	0.48	3.04	4.47	-1.06	29.29	15.77	6.44	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise bounded
rdadvise-adaptive	3	498	128	11.86	6.52	19.621	3.185	3.185	73.3	0.52	3.04	4.42	-1.06	28.78	15.96	6.23	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise adaptive
rdadvise-drift	9	498	128	11.78	6.39	20.046	3.220	3.220	73.3	0.53	3.04	4.47	-1.05	28.26	15.67	5.96	121.0	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
chunk-warmup	0	2378	32	19.01	2.40	13.312	14.433	14.434	66.9	0.48	3.23	4.14	-1.30	39.60	27.01	8.51	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 512 --rdadvise off
chunk-drift	0	2378	32	18.62	2.13	15.011	14.235	14.235	66.9	0.48	3.22	4.06	-1.30	34.65	24.42	7.55	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 512 --rdadvise off
chunk-c512	1	2378	32	18.77	2.24	14.273	14.277	14.277	66.9	0.49	3.22	4.07	-1.29	36.99	25.20	7.87	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 512 --rdadvise off
chunk-c1024	1	2378	32	15.01	2.10	15.257	10.574	10.574	68.7	0.55	2.80	2.63	-0.99	33.81	24.51	7.23	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 1024 --rdadvise off
chunk-c2048	1	2378	32	13.02	2.17	14.769	8.627	8.627	69.3	0.68	2.65	1.82	-0.85	35.02	25.15	7.54	118.2	--expert-cache-slots 32 --expert-cache-policy lfu --prefill on --prefill-chunk-tokens 2048 --rdadvise off
