label	n	ptok	ntok	real	decode	rate	prefill_s	ttft_s	io_ms	hit_pct	peak_gb	flags
ja-warmup	0	510	384	24.80	12.53	30.646	9.955	9.955	2.24	99.2	7.14	--expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-haiku	1	510	384	24.54	12.36	31.074	9.906	9.906	2.12	99.2	7.13	--expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-math	1	43	384	17.43	13.51	28.422	1.554	1.554	6.53	97.4	7.07	--expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-story	1	96	384	16.56	12.26	31.313	2.014	2.014	3.91	98.5	7.10	--expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-haiku	2	510	384	24.83	12.49	30.741	10.070	10.070	2.23	99.2	7.11	--expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-math	2	43	384	17.39	13.56	28.313	1.538	1.538	6.76	97.4	7.08	--expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-story	2	96	384	16.75	12.39	30.996	2.004	2.004	3.92	98.5	7.05	--expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-haiku	3	510	384	24.61	12.45	30.842	9.859	9.859	2.22	99.2	7.14	--expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-math	3	43	384	17.28	13.46	28.535	1.517	1.517	6.56	97.4	7.10	--expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-story	3	96	384	16.57	12.26	31.325	1.999	1.999	3.82	98.5	7.04	--expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-warmup	0	510	384	25.00	12.93	29.709	9.792	9.793	2.59	98.9	7.12	temp=0.2 topk=64 topp=0.95 seed=0 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-haiku-t02	1	510	384	24.77	12.72	30.189	9.823	9.824	2.20	99.1	7.12	temp=0.2 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-haiku-t10	1	510	384	25.38	13.21	29.076	9.908	9.910	3.00	98.8	7.14	temp=1.0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-math-t02	1	43	384	17.59	13.73	27.966	1.559	1.560	6.41	97.6	7.05	temp=0.2 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-math-t10	1	43	384	17.36	13.52	28.392	1.548	1.549	6.07	97.7	7.07	temp=1.0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-story-t02	1	96	384	16.92	12.65	30.363	2.014	2.015	3.70	98.6	7.05	temp=0.2 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-story-t10	1	96	384	17.05	12.74	30.135	2.031	2.032	4.01	98.5	7.01	temp=1.0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-haiku-t02	2	510	384	24.82	12.85	29.892	9.736	9.738	2.42	99.0	7.09	temp=0.2 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-haiku-t10	2	510	384	25.14	13.04	29.450	9.860	9.861	2.81	98.7	7.09	temp=1.0 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-math-t02	2	43	384	17.26	13.43	28.586	1.498	1.500	5.95	97.7	7.09	temp=0.2 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-math-t10	2	43	384	17.47	13.68	28.075	1.526	1.527	6.28	97.6	7.11	temp=1.0 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-story-t02	2	96	384	17.05	12.69	30.261	2.030	2.032	3.60	98.6	7.06	temp=0.2 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-story-t10	2	96	384	16.85	12.53	30.635	2.004	2.009	3.16	98.8	6.98	temp=1.0 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-haiku-t02	3	510	384	24.96	12.83	29.926	9.819	9.820	2.27	99.1	7.05	temp=0.2 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-haiku-t10	3	510	384	25.21	13.15	29.208	9.830	9.831	3.02	98.6	7.05	temp=1.0 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-math-t02	3	43	384	17.76	14.00	27.437	1.531	1.532	7.03	97.3	7.07	temp=0.2 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-math-t10	3	43	384	17.36	13.49	28.474	1.563	1.565	5.97	97.7	7.04	temp=1.0 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-story-t02	3	96	384	16.96	12.62	30.440	2.009	2.010	3.75	98.6	7.05	temp=0.2 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
temp-story-t10	3	96	384	16.91	12.59	30.508	2.030	2.031	3.70	98.6	7.07	temp=1.0 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
loop-haiku-t0	1	510	1024	46.33	34.21	29.937	9.822	9.822	1.49	99.5	7.13	temp=0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
loop-haiku-t0.2	1	510	1024	47.18	34.90	29.341	9.974	9.975	1.59	99.4	7.11	temp=0.2 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
loop-haiku-t1.0	1	510	828	41.08	28.88	28.674	9.914	9.915	2.51	98.9	7.10	temp=1.0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-warmup	0	510	128	16.66	4.55	28.155	9.867	9.868	3.78	98.4	7.12	temp=1.0 topk=64 topp=0.95 seed=0 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-haiku	1	510	128	16.84	4.60	27.819	9.944	9.945	4.02	98.4	7.10	temp=1.0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-math	1	43	128	8.89	5.05	25.329	1.525	1.527	9.91	96.6	7.07	temp=1.0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-story	1	96	128	9.01	4.56	28.094	1.970	1.971	6.09	98.1	6.98	temp=1.0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-haiku	2	510	128	17.00	4.43	28.879	9.832	9.833	3.76	98.5	7.09	temp=1.0 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-math	2	43	128	9.01	5.15	24.847	1.531	1.532	11.17	96.1	7.03	temp=1.0 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-story	2	96	128	8.96	4.60	27.855	2.001	2.003	5.89	98.1	6.93	temp=1.0 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-haiku	3	510	128	17.41	4.67	27.428	10.090	10.091	4.41	98.4	7.09	temp=1.0 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-math	3	43	128	9.03	5.15	24.836	1.548	1.550	11.05	96.3	7.10	temp=1.0 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-story	3	96	128	8.88	4.52	28.334	1.950	1.951	5.87	98.2	6.98	temp=1.0 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-warmup	0	510	384	24.65	12.45	30.845	9.997	9.997	2.19	99.2	7.10	temp=0 topk=64 topp=0.95 seed=0 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-haiku	1	510	384	24.42	12.33	31.132	9.794	9.794	2.18	99.2	7.10	temp=0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-math	1	43	384	17.27	13.50	28.442	1.491	1.491	6.71	97.4	7.02	temp=0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-story	1	96	384	16.70	12.39	31.001	1.979	1.979	3.89	98.5	7.04	temp=0 topk=64 topp=0.95 seed=1 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-haiku	2	510	384	24.37	12.45	30.838	9.630	9.630	2.26	99.2	7.07	temp=0 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-math	2	43	384	17.40	13.57	28.306	1.506	1.506	6.78	97.4	7.09	temp=0 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-story	2	96	384	16.70	12.39	31.005	1.992	1.992	3.93	98.5	7.09	temp=0 topk=64 topp=0.95 seed=2 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-haiku	3	510	384	24.64	12.45	30.852	9.860	9.860	2.33	99.2	7.09	temp=0 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-math	3	43	384	17.29	13.48	28.480	1.517	1.517	6.64	97.4	7.07	temp=0 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
ja-story	3	96	384	16.84	12.53	30.645	1.989	1.989	4.31	98.5	7.05	temp=0 topk=64 topp=0.95 seed=3 --expert-cache-slots 64 --prefill on --prefill-chunk-tokens 128 --rdadvise off --verification trusted-install
